No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
1,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-06-28,13:20,13:30,13:20,13:30,10,0,0,120,3,3,7/14～8/01_総合保健福祉センター(60歳)/2021-06-28,2021-06-28T13:20:00.000+9,2021-06-28T13:30:00.000+9,2021-06-28T13:20:00.000+9,2021-06-28T13:30:00.000+9
2,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-07-05,13:20,13:30,13:20,13:30,10,0,0,120,3,3,7/14～8/01_総合保健福祉センター(60歳)/2021-07-05,2021-07-05T13:20:00.000+9,2021-07-05T13:30:00.000+9,2021-07-05T13:20:00.000+9,2021-07-05T13:30:00.000+9
3,7/14～8/01_東生涯学習センター(60歳),TRUE,2021-06-28,13:20,13:30,13:20,13:30,10,0,0,120,3,3,7/14～8/01_東生涯学習センター(60歳)/2021-06-28,2021-06-28T13:20:00.000+9,2021-06-28T13:30:00.000+9,2021-06-28T13:20:00.000+9,2021-06-28T13:30:00.000+9
4,7/14～8/01_東生涯学習センター(60歳),TRUE,2021-07-05,13:20,13:30,13:20,13:30,10,0,0,120,3,3,7/14～8/01_東生涯学習センター(60歳)/2021-07-05,2021-07-05T13:20:00.000+9,2021-07-05T13:30:00.000+9,2021-07-05T13:20:00.000+9,2021-07-05T13:30:00.000+9
5,7/14～8/01_西南生涯学習センター(60歳),TRUE,2021-06-28,13:20,13:30,13:20,13:30,10,0,0,120,3,3,7/14～8/01_西南生涯学習センター(60歳)/2021-06-28,2021-06-28T13:20:00.000+9,2021-06-28T13:30:00.000+9,2021-06-28T13:20:00.000+9,2021-06-28T13:30:00.000+9
6,7/14～8/01_西南生涯学習センター(60歳),TRUE,2021-07-05,13:20,13:30,13:20,13:30,10,0,0,120,3,3,7/14～8/01_西南生涯学習センター(60歳)/2021-07-05,2021-07-05T13:20:00.000+9,2021-07-05T13:30:00.000+9,2021-07-05T13:20:00.000+9,2021-07-05T13:30:00.000+9
7,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-28,13:20,13:30,13:20,13:30,10,0,0,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-28,2021-06-28T13:20:00.000+9,2021-06-28T13:30:00.000+9,2021-06-28T13:20:00.000+9,2021-06-28T13:30:00.000+9
8,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-07-05,13:20,13:30,13:20,13:30,10,0,0,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-07-05,2021-07-05T13:20:00.000+9,2021-07-05T13:30:00.000+9,2021-07-05T13:20:00.000+9,2021-07-05T13:30:00.000+9
9,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-07-12,13:20,13:30,13:20,13:30,10,0,0,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-07-12,2021-07-12T13:20:00.000+9,2021-07-12T13:30:00.000+9,2021-07-12T13:20:00.000+9,2021-07-12T13:30:00.000+9
10,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-07-19,13:20,13:30,13:20,13:30,10,0,0,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-07-19,2021-07-19T13:20:00.000+9,2021-07-19T13:30:00.000+9,2021-07-19T13:20:00.000+9,2021-07-19T13:30:00.000+9
