No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
1,6/23～7/11_総合保健福祉センター(65歳以上),TRUE,2021-06-09,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～7/11_総合保健福祉センター(65歳以上)/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9
2,6/23～7/11_総合保健福祉センター(65歳以上),TRUE,2021-06-16,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～7/11_総合保健福祉センター(65歳以上)/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9
3,6/23～7/11_東生涯学習センター(65歳以上),TRUE,2021-06-09,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～7/11_東生涯学習センター(65歳以上)/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9
4,6/23～7/11_東生涯学習センター(65歳以上),TRUE,2021-06-16,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～7/11_東生涯学習センター(65歳以上)/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9
5,6/23～7/11_西南生涯学習センター(65歳以上),TRUE,2021-06-09,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～7/11_西南生涯学習センター(65歳以上)/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9
6,6/23～7/11_西南生涯学習センター(65歳以上),TRUE,2021-06-16,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～7/11_西南生涯学習センター(65歳以上)/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9
7,7/14～8/01_総合保健福祉センター(65歳以上),TRUE,2021-06-09,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター(65歳以上)/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9
8,7/14～8/01_総合保健福祉センター(65歳以上),TRUE,2021-06-16,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター(65歳以上)/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9
9,7/14～8/01_総合保健福祉センター(65歳以上),TRUE,2021-06-23,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター(65歳以上)/2021-06-23,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9
10,7/14～8/01_総合保健福祉センター(65歳以上),TRUE,2021-06-30,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター(65歳以上)/2021-06-30,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9
11,7/14～8/01_総合保健福祉センター(65歳以上),TRUE,2021-07-07,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_総合保健福祉センター(65歳以上)/2021-07-07,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9
12,7/14～8/01_東生涯学習センター(65歳以上),TRUE,2021-06-09,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター(65歳以上)/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9
13,7/14～8/01_東生涯学習センター(65歳以上),TRUE,2021-06-16,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター(65歳以上)/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9
14,7/14～8/01_東生涯学習センター(65歳以上),TRUE,2021-06-23,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター(65歳以上)/2021-06-23,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9
15,7/14～8/01_東生涯学習センター(65歳以上),TRUE,2021-06-30,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター(65歳以上)/2021-06-30,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9
16,7/14～8/01_東生涯学習センター(65歳以上),TRUE,2021-07-07,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_東生涯学習センター(65歳以上)/2021-07-07,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9
17,7/14～8/01_西南生涯学習センター(65歳以上),TRUE,2021-06-09,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター(65歳以上)/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9,2021-06-09T13:20:00.000+9,2021-06-09T13:30:00.000+9
18,7/14～8/01_西南生涯学習センター(65歳以上),TRUE,2021-06-16,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター(65歳以上)/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9,2021-06-16T13:20:00.000+9,2021-06-16T13:30:00.000+9
19,7/14～8/01_西南生涯学習センター(65歳以上),TRUE,2021-06-23,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター(65歳以上)/2021-06-23,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9,2021-06-23T13:20:00.000+9,2021-06-23T13:30:00.000+9
20,7/14～8/01_西南生涯学習センター(65歳以上),TRUE,2021-06-30,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター(65歳以上)/2021-06-30,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9,2021-06-30T13:20:00.000+9,2021-06-30T13:30:00.000+9
21,7/14～8/01_西南生涯学習センター(65歳以上),TRUE,2021-07-07,13:20,13:30,13:20,13:30,10,0,0,120,2,2,7/14～8/01_西南生涯学習センター(65歳以上)/2021-07-07,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9,2021-07-07T13:20:00.000+9,2021-07-07T13:30:00.000+9
